epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1433.38,0.9302,0.78312,0.88538,0.84273,0.75641,0.82777,0.61569,0.94312,0.95744,0.91261,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,1470.54,0.93167,0.76104,0.88546,0.81898,0.78304,0.83039,0.61752,0.92681,0.92702,0.90965,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,1507.9,0.86305,0.72497,0.87033,0.85765,0.7338,0.83021,0.61952,0.92971,0.91094,0.91343,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,1538.84,0.88644,0.7918,0.87748,0.89656,0.73077,0.83194,0.62618,0.93764,0.91964,0.91254,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,1576.16,0.90092,0.73305,0.86921,0.93317,0.70513,0.83375,0.62112,0.90793,0.90221,0.9078,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,1614.57,0.90621,0.70429,0.87329,0.96955,0.69231,0.83318,0.62259,0.9221,0.90099,0.91241,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,1656.01,0.88756,0.74168,0.8862,0.97801,0.69231,0.83956,0.63571,0.90629,0.86643,0.90433,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,1689.4,0.8562,0.68341,0.8759,0.94028,0.71795,0.84342,0.63537,0.88834,0.8558,0.89979,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,1736.04,0.87632,0.7013,0.85887,0.94803,0.72436,0.84658,0.63226,0.89906,0.85565,0.90185,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,1790.62,0.83151,0.70196,0.86341,0.90725,0.75249,0.84685,0.63589,0.88869,0.85447,0.89607,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,1848.83,0.9046,0.70328,0.86347,0.88419,0.78305,0.84716,0.63814,0.87531,0.84589,0.89348,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,1894.45,0.89239,0.69279,0.87642,0.89027,0.76923,0.84735,0.6444,0.87006,0.85252,0.89439,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,1948.31,0.86215,0.68105,0.86111,0.89245,0.78205,0.84631,0.63678,0.87826,0.84105,0.8949,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,2005.04,0.85851,0.65769,0.86894,0.85312,0.82051,0.84568,0.63282,0.9156,0.84497,0.89989,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,2061.79,0.85886,0.72086,0.88721,0.86249,0.82051,0.84224,0.63038,0.92411,0.84429,0.90075,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,2113.06,0.8282,0.67197,0.86527,0.84699,0.81614,0.84619,0.63386,0.9019,0.82764,0.89719,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,2171.71,0.82075,0.69504,0.86174,0.91037,0.73718,0.85165,0.63209,0.92296,0.84069,0.90309,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,2233.06,0.82831,0.64911,0.87024,0.87711,0.75641,0.8497,0.62378,0.89584,0.82699,0.89844,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,2274.38,0.83127,0.66673,0.87304,0.92693,0.71154,0.84462,0.62391,0.90921,0.81733,0.90045,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,2310.61,0.8342,0.6257,0.86748,0.92761,0.71795,0.84629,0.62524,0.90905,0.81804,0.90157,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,2357.08,0.78559,0.62491,0.84771,0.95424,0.70513,0.84745,0.62809,0.90689,0.8193,0.90046,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,2403.23,0.81871,0.61458,0.85351,0.93928,0.72436,0.85013,0.63124,0.90637,0.81179,0.89958,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,2450.3,0.78764,0.63729,0.85869,0.94225,0.71154,0.84432,0.62815,0.90368,0.80943,0.89913,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,2492.7,0.81436,0.61582,0.85942,0.94553,0.71795,0.85431,0.63036,0.90893,0.80116,0.8981,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,2542.07,0.83227,0.61884,0.859,0.8591,0.78173,0.84151,0.63289,0.8934,0.79359,0.89698,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,2590.08,0.79994,0.61268,0.86107,0.87153,0.78205,0.84522,0.64023,0.90484,0.79568,0.8996,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,2639.9,0.8157,0.61335,0.85139,0.94245,0.73479,0.8483,0.63801,0.90731,0.78591,0.89822,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,2686.1,0.81376,0.61165,0.86159,0.87218,0.78205,0.84953,0.63406,0.91096,0.783,0.89722,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,2737.52,0.77364,0.60293,0.85618,0.89167,0.79149,0.84847,0.63584,0.88739,0.7676,0.8922,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,2792.36,0.78567,0.58485,0.85315,0.87756,0.79487,0.84564,0.63451,0.88657,0.75732,0.89233,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,2848.33,0.74618,0.5836,0.85176,0.97076,0.73718,0.85967,0.64095,0.90617,0.76845,0.89649,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,2897.34,0.79431,0.58181,0.85674,0.96477,0.74359,0.85699,0.6372,0.89966,0.76152,0.89728,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,2949.7,0.76879,0.57752,0.85474,0.95796,0.72436,0.85384,0.63284,0.90299,0.75971,0.89657,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,3008.47,0.78408,0.58485,0.85464,0.9392,0.75,0.85452,0.632,0.89948,0.75543,0.89638,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,3064.79,0.83059,0.61825,0.86225,0.94459,0.75,0.85592,0.63795,0.90706,0.75979,0.89471,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,3097.36,0.78457,0.59387,0.87451,0.91398,0.77564,0.85507,0.63998,0.89131,0.75268,0.89463,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,3131.4,0.78682,0.57276,0.85221,0.95153,0.75507,0.84933,0.63869,0.9002,0.75327,0.89662,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,3165.91,0.7874,0.577,0.85529,0.91622,0.77114,0.84775,0.64668,0.88779,0.75146,0.89201,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,3202.21,0.77177,0.56971,0.84997,0.92408,0.78021,0.84625,0.6438,0.87263,0.74984,0.88848,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,3235.33,0.79999,0.57287,0.85944,0.9164,0.77299,0.84501,0.64611,0.87575,0.74954,0.89129,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,3273.39,0.75226,0.55934,0.8519,0.92264,0.76451,0.84463,0.64008,0.87838,0.74678,0.89125,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,3310.83,0.76454,0.57084,0.84714,0.8856,0.78205,0.84463,0.64936,0.87238,0.7464,0.8894,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,3348.75,0.86964,0.58696,0.86651,0.89892,0.76282,0.84477,0.64919,0.87768,0.74515,0.88934,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,3381.04,0.72899,0.54753,0.84744,0.91983,0.75,0.84378,0.64696,0.88108,0.74239,0.88973,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,3418.76,0.74765,0.55897,0.83999,0.9144,0.75328,0.84409,0.63817,0.88263,0.75268,0.89194,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,3456.84,0.77375,0.54259,0.85142,0.9094,0.75641,0.84712,0.64104,0.87762,0.75165,0.89183,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,3502.21,0.73644,0.55811,0.8352,0.87154,0.77564,0.84687,0.64024,0.88148,0.75398,0.89295,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,3551.24,0.75,0.5428,0.84126,0.87422,0.77564,0.84601,0.64472,0.88231,0.74951,0.89275,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,3616.17,0.83818,0.57267,0.86049,0.84518,0.79487,0.84785,0.64419,0.89366,0.75174,0.89441,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,3678.2,0.75981,0.54536,0.85431,0.84801,0.80769,0.84949,0.64266,0.89863,0.7566,0.89807,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,3739.56,0.74051,0.53545,0.84758,0.86609,0.80128,0.84963,0.63945,0.90053,0.75481,0.89836,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,3791.85,0.69998,0.52524,0.84353,0.86643,0.79005,0.84887,0.64059,0.89883,0.75889,0.89918,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,3854.61,0.76246,0.5484,0.84646,0.85681,0.79487,0.84667,0.64201,0.896,0.7546,0.89856,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,3911.82,0.68983,0.50304,0.84019,0.85887,0.79487,0.84756,0.63792,0.89616,0.75342,0.8966,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,3967.64,0.74222,0.54605,0.84138,0.86591,0.79487,0.84859,0.63856,0.89841,0.75491,0.89715,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,4014.52,0.75495,0.53516,0.85052,0.86913,0.78846,0.84849,0.64195,0.90102,0.75381,0.89703,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,4069.08,0.73384,0.51357,0.83828,0.85482,0.79261,0.84951,0.64142,0.89292,0.74346,0.89503,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,4128.01,0.73121,0.52028,0.8359,0.95958,0.72436,0.85044,0.63882,0.89317,0.74372,0.89618,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,4190.57,0.70516,0.51945,0.84081,0.95624,0.72436,0.85004,0.6361,0.89545,0.74102,0.8969,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,4243.2,0.74884,0.53035,0.847,0.85154,0.79487,0.84975,0.63941,0.89227,0.74162,0.89578,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,4300.64,0.7007,0.51626,0.83806,0.94884,0.73077,0.85009,0.63928,0.8896,0.73768,0.89465,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,4357.46,0.72921,0.60321,0.83303,0.85433,0.80769,0.85246,0.6393,0.90139,0.73692,0.89721,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,4416.79,0.75399,0.59416,0.8442,0.87841,0.78731,0.85553,0.64268,0.90817,0.73492,0.89914,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,4472.09,0.74415,0.58393,0.84023,0.91504,0.75942,0.85564,0.64488,0.90567,0.7329,0.89763,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,4544.71,0.72905,0.5832,0.84851,0.9341,0.73718,0.85475,0.64307,0.90757,0.73548,0.89562,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,4607.97,0.74782,0.57024,0.84181,0.86665,0.78205,0.85141,0.64253,0.91005,0.73651,0.8948,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,4661.89,0.74766,0.58166,0.84561,0.86056,0.78205,0.84978,0.64085,0.91549,0.73711,0.89637,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,4704.13,0.69905,0.56035,0.83596,0.86192,0.78205,0.84871,0.6417,0.91739,0.7374,0.89716,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,4756.03,0.7298,0.55855,0.83739,0.85234,0.78846,0.84744,0.63845,0.92631,0.73722,0.90071,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,4813.02,0.75729,0.57949,0.84162,0.8498,0.79791,0.84737,0.63714,0.93061,0.73478,0.90181,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,4866.04,0.72403,0.54895,0.82841,0.85435,0.79487,0.84734,0.6364,0.93338,0.73211,0.90259,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
