epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2905.07,0.73199,0.65227,1.05865,0.6227,0.31818,0.32991,0.12269,2.31068,2.92836,2.71171,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,2999.25,0.7137,0.63672,1.06096,0.5359,0.27273,0.3191,0.1273,2.30286,3.00722,2.69044,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,3112.26,0.73308,0.64664,1.07118,0.60346,0.29545,0.29886,0.12445,2.29522,2.9614,2.66204,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,3211.12,0.71345,0.61016,1.07142,0.40526,0.38636,0.30942,0.12447,2.22383,2.80211,2.53374,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,3325.79,0.7289,0.63794,1.05823,0.46574,0.375,0.31709,0.12512,2.27626,2.7619,2.57185,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,3428.38,0.73328,0.66058,1.08492,0.45366,0.43182,0.30786,0.12302,2.27824,2.79682,2.49482,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,3552.32,0.69424,0.61768,1.0522,0.43892,0.39773,0.2985,0.11408,2.26986,2.80276,2.45143,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,3668.21,0.68384,0.5893,1.05147,0.45335,0.40527,0.33818,0.13101,2.30299,2.70246,2.49504,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,3778.37,0.67171,0.58173,1.05355,0.45107,0.42045,0.32521,0.11741,2.2709,2.76163,2.47642,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,3898.17,0.67909,0.58728,1.05827,0.42886,0.44318,0.30452,0.12383,2.30769,2.74844,2.48471,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,3993.6,0.73637,0.61075,1.05466,0.54772,0.39911,0.37923,0.15987,2.36766,2.65294,2.6009,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,4100.65,0.67326,0.56424,1.04349,0.55714,0.39773,0.4228,0.19182,2.32621,2.55695,2.54099,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,4223.62,0.66182,0.54517,1.01904,0.55125,0.42045,0.41171,0.18713,2.307,2.5546,2.55031,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,4337.96,0.65931,0.56567,1.01444,0.60746,0.39773,0.41696,0.18666,2.29238,2.53877,2.51631,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,4440.55,0.67309,0.55248,1.03309,0.51641,0.48542,0.45514,0.18941,2.32587,2.50569,2.47001,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,4537.4,0.68705,0.56231,1.03631,0.5602,0.46591,0.45009,0.17319,2.37295,2.53651,2.52768,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,4644.67,0.63903,0.51416,1.01295,0.51467,0.50616,0.42313,0.17097,2.37157,2.56927,2.52726,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,4759.17,0.64437,0.54231,1.02769,0.63829,0.40909,0.44869,0.15776,2.44738,2.57538,2.58353,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,4894.91,0.65154,0.51883,1.00797,0.77041,0.39773,0.44449,0.1482,2.53273,2.62498,2.63812,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,5013.18,0.61357,0.4942,1.00732,0.69182,0.375,0.42377,0.1608,2.42832,2.69569,2.57778,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
