模型名称,测试图片,真实框,预测框,TP,FP,FN,精确率,召回率,F1分数,AP
三脚架检测器,26,26,28,26,2,0,0.9286,1.0000,0.9630,1.0000
安全防护栏检测器,32,64,78,62,16,2,0.7949,0.9688,0.8732,0.9902
