epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,554.82,1.21526,1.02425,1.33897,0.81275,0.64,0.74417,0.41451,1.54342,3.35289,1.70003,0.00613,0.00613,0.00613
45,566.283,1.26108,1.03508,1.31036,0.82744,0.4,0.45311,0.26234,1.62166,7.36629,1.90479,0.00604,0.00604,0.00604
46,577.702,1.21673,1.12992,1.39007,0.62423,0.44,0.47926,0.24881,1.77394,10.0157,2.11102,0.00595,0.00595,0.00595
47,590.108,1.32648,0.99755,1.30038,0.76807,0.5303,0.60128,0.35083,1.63887,9.49067,1.93695,0.00586,0.00586,0.00586
48,602.503,1.1762,0.96622,1.23878,0.95101,0.52,0.71524,0.45887,1.28583,7.17556,1.46709,0.00577,0.00577,0.00577
49,614.541,1.14162,1.09771,1.17647,0.96387,0.6,0.8375,0.49706,1.28973,4.92783,1.44094,0.00568,0.00568,0.00568
50,625.759,1.11349,0.99702,1.27317,0.75214,0.84994,0.87808,0.53159,1.2582,3.10636,1.43767,0.00559,0.00559,0.00559
51,637.41,1.22299,1.05179,1.40025,0.80459,0.76,0.87426,0.53555,1.27723,2.44651,1.3993,0.0055,0.0055,0.0055
52,649.195,1.66621,1.61057,1.54256,0.86239,0.72,0.83349,0.45965,1.42013,2.1977,1.45893,0.00541,0.00541,0.00541
53,660.696,1.10129,1.03575,1.19785,0.69781,0.8,0.82383,0.41104,1.49678,2.01547,1.48562,0.00532,0.00532,0.00532
54,671.787,1.35204,1.25451,1.29884,0.96241,0.84,0.97542,0.55509,1.35775,1.39383,1.4227,0.00523,0.00523,0.00523
55,683.161,1.4004,1.05302,1.2194,0.98831,0.96,0.9853,0.64315,1.27117,1.16649,1.41375,0.00514,0.00514,0.00514
56,694.578,1.34165,0.87572,1.44445,0.91368,0.84698,0.96053,0.61861,1.29365,1.21672,1.39953,0.00505,0.00505,0.00505
57,705.504,1.24528,0.82013,1.22131,0.97157,0.76,0.92001,0.62181,1.20525,1.43797,1.32192,0.00496,0.00496,0.00496
58,718.426,0.89653,0.90128,0.93034,0.84726,0.76,0.86687,0.58612,1.21355,1.57444,1.35346,0.00487,0.00487,0.00487
59,730.712,1.20202,0.88241,1.1802,0.79021,0.72,0.84613,0.5829,1.17697,1.72469,1.33487,0.00478,0.00478,0.00478
60,743.298,1.24925,0.86192,1.25191,0.81261,0.86759,0.90394,0.62329,1.13717,1.59542,1.33129,0.00469,0.00469,0.00469
61,755.499,1.51776,1.44971,1.67503,0.91172,0.88,0.95996,0.63076,1.19235,1.36322,1.36848,0.0046,0.0046,0.0046
62,768.248,1.18799,0.93969,1.28226,0.85675,0.957,0.95538,0.63891,1.19836,1.28955,1.41943,0.00451,0.00451,0.00451
63,780.28,1.10885,0.82481,1.22004,0.78736,0.88893,0.93908,0.64181,1.12357,1.30664,1.35848,0.00442,0.00442,0.00442
64,792.179,1.30669,0.86154,1.38349,0.73255,0.84,0.88279,0.62097,1.06771,1.42692,1.29133,0.00433,0.00433,0.00433
65,804.276,1.32083,0.86905,1.40339,0.74023,0.84,0.83862,0.57026,1.11701,1.7996,1.31705,0.00424,0.00424,0.00424
66,816.143,1.0459,0.83345,1.17589,0.73666,0.84,0.81201,0.54808,1.11086,1.84246,1.32843,0.00415,0.00415,0.00415
67,827.823,1.1507,0.86005,1.20637,0.79483,0.77516,0.85975,0.57996,1.06421,2.71036,1.31262,0.00406,0.00406,0.00406
68,839.115,0.83457,1.24951,0.93228,0.77176,0.76,0.83288,0.57162,1.02108,2.86084,1.2642,0.00397,0.00397,0.00397
