epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,462.219,1.12545,0.95514,1.20543,0.01346,0.09091,0.00383,0.00185,2.4075,27.6982,2.50722,0.005842,0.005842,0.005842
44,477.589,1.00678,1.02571,1.13989,0.08726,0.18182,0.02423,0.01497,2.23003,9.27565,2.50718,0.005743,0.005743,0.005743
45,492.688,1.07379,1.02324,1.1536,0.08726,0.18182,0.02423,0.01497,2.23003,9.27565,2.50718,0.005644,0.005644,0.005644
46,508.042,1.04069,0.93209,1.16317,0.53365,0.22727,0.28445,0.15802,1.70687,3.03238,1.81274,0.005545,0.005545,0.005545
47,521.369,0.98644,0.90809,1.10068,0.32267,0.59091,0.37692,0.22058,1.43541,2.729,1.60761,0.005446,0.005446,0.005446
48,534.124,0.9477,0.86269,1.08597,0.39064,0.64118,0.40344,0.22873,1.41951,3.2474,1.52458,0.005347,0.005347,0.005347
49,547.21,1.02784,0.93637,1.17549,0.39064,0.64118,0.40344,0.22873,1.41951,3.2474,1.52458,0.005248,0.005248,0.005248
50,559.703,0.96027,0.8813,1.11654,0.51185,0.77273,0.5249,0.31297,1.34647,2.69131,1.44716,0.005149,0.005149,0.005149
51,572.158,0.92477,0.84474,1.04539,0.56432,0.68182,0.6395,0.40743,1.17831,2.42957,1.32027,0.00505,0.00505,0.00505
52,585.819,0.94167,0.83805,1.05143,0.38901,0.59091,0.43116,0.29321,1.29586,2.69696,1.39031,0.004951,0.004951,0.004951
53,599.162,0.87149,0.75721,1.00421,0.38901,0.59091,0.43116,0.29321,1.29586,2.69696,1.39031,0.004852,0.004852,0.004852
54,612.995,0.8916,0.79294,1.0555,0.4207,0.54545,0.44064,0.2751,1.29271,2.35323,1.39456,0.004753,0.004753,0.004753
55,626.012,0.9319,0.82434,1.05937,0.34938,0.5,0.40402,0.28494,1.30126,2.50605,1.38806,0.004654,0.004654,0.004654
56,640.376,0.98079,0.85735,1.11943,0.6145,0.54545,0.53457,0.35798,1.27999,1.93481,1.40222,0.004555,0.004555,0.004555
